area_name,status,state,1990,2000,2010,2017
Fresno,Metropolitan Statistical Area,CA,667479,798766,930495,989255
Gadsden,Metropolitan Statistical Area,AL,99840,103448,104427,102755
Gaffney,Micropolitan Statistical Area,SC,44506,52532,55467,57105
Gainesville,Metropolitan Statistical Area,FL,191263,232393,264276,284687
Gainesville,Metropolitan Statistical Area,GA,95434,139615,179697,199335
Gainesville,Micropolitan Statistical Area,TX,30777,36370,38430,39895
Galesburg,Micropolitan Statistical Area,IL,56393,55842,52919,50638
Gallup,Micropolitan Statistical Area,NM,60686,74795,71488,72564
Garden City,Micropolitan Statistical Area,KS,37097,45042,40762,41044
Gardnerville Ranchos,Micropolitan Statistical Area,NV,27637,41245,46997,48309
Georgetown,Micropolitan Statistical Area,SC,46302,55823,60158,61607
Gettysburg,Metropolitan Statistical Area,PA,78274,91207,101417,102336
Gillette,Micropolitan Statistical Area,WY,29370,33705,46133,46242
Glasgow,Micropolitan Statistical Area,KY,42964,48070,52272,53908
Glens Falls,Metropolitan Statistical Area,NY,118539,124295,128936,126152
Glenwood Springs,Micropolitan Statistical Area,CO,42635,58675,73537,77008
Gloversville,Micropolitan Statistical Area,NY,54191,55053,55523,53877
Goldsboro,Metropolitan Statistical Area,NC,104666,113449,122646,124172
Grand Forks,Metropolitan Statistical Area,ND-MN,103272,97489,98464,102414
Grand Island,Metropolitan Statistical Area,NE,71906,77735,81850,85045
Grand Junction,Metropolitan Statistical Area,CO,93145,116939,146717,151616
Grand Rapids,Micropolitan Statistical Area,MN,40844,43909,45058,45137
Grand Rapids - Wyoming,Metropolitan Statistical Area,MI,791515,930880,988940,1059113
Grants,Micropolitan Statistical Area,NM,23794,25588,27215,26853
Grants Pass,Metropolitan Statistical Area,OR,62649,75729,82713,86352
Great Bend,Micropolitan Statistical Area,KS,29382,28200,27672,26476
Great Falls,Metropolitan Statistical Area,MT,77691,80356,81324,81654
Greeley,Metropolitan Statistical Area,CO,131821,180766,252839,304633
Green Bay,Metropolitan Statistical Area,WI,243698,282489,306241,320050
Greeneville,Micropolitan Statistical Area,TN,55832,62911,68825,68808
Greenfield Town,Micropolitan Statistical Area,MA,70086,71540,71372,70702
Greensboro - High Point,Metropolitan Statistical Area,NC,540041,643369,723850,761184
Greensburg,Micropolitan Statistical Area,IN,23645,24559,25731,26737
Greenville,Micropolitan Statistical Area,MS,67935,63035,51135,46221
Greenville,Metropolitan Statistical Area,NC,108480,133759,168166,179042
Greenville,Micropolitan Statistical Area,OH,53617,53313,52969,51536
Greenville - Anderson - Mauldin,Metropolitan Statistical Area,SC,617332,725544,824109,895923
Greenwood,Micropolitan Statistical Area,MS,46578,48702,42979,39362
Greenwood,Micropolitan Statistical Area,SC,83429,92462,95077,95077
Grenada,Micropolitan Statistical Area,MS,21555,23273,21906,21087
Guayama,Metropolitan Statistical Area,PR,80131,83570,84196,76166
Gulfport - Biloxi - Pascagoula,Metropolitan Statistical Area,MS,312368,363961,370787,394232
Guymon,Micropolitan Statistical Area,OK,16419,20098,20640,20900
Hagerstown - Martinsburg,Metropolitan Statistical Area,MD-WV,180646,207810,251602,265498
Hailey,Micropolitan Statistical Area,ID,17587,24025,27701,28444
Hammond,Metropolitan Statistical Area,LA,85709,100481,121101,132497
Hanford - Corcoran,Metropolitan Statistical Area,CA,101469,129470,152982,150101
Hannibal,Micropolitan Statistical Area,MO,36158,37899,38948,38858
Harrisburg - Carlisle,Metropolitan Statistical Area,PA,474242,509011,549473,571903
Harrison,Micropolitan Statistical Area,AR,35963,42543,45237,45209
Harrisonburg,Metropolitan Statistical Area,VA,88189,108215,125223,134442
Hartford - West Hartford - East Hartford,Metropolitan Statistical Area,CT,1123678,1148649,1212398,1210259
Hastings,Micropolitan Statistical Area,NE,29625,31150,31367,31678
Hattiesburg,Metropolitan Statistical Area,MS,109603,123922,142857,148877
Hays,Micropolitan Statistical Area,KS,26004,27506,28452,28689
Heber,Micropolitan Statistical Area,UT,10089,15206,23525,32106
Helena,Micropolitan Statistical Area,MT,55434,65750,74798,79664
Helena - West Helena,Micropolitan Statistical Area,AR,28830,26438,21755,18572
Henderson,Micropolitan Statistical Area,NC,38892,42946,45419,44211
Hereford,Micropolitan Statistical Area,TX,19153,18565,19372,18836
Hermiston - Pendleton,Micropolitan Statistical Area,OR,66874,81551,87062,88151
Hickory - Lenoir - Morganton,Metropolitan Statistical Area,NC,292405,341854,365835,366534
